In The Box,"Handset, Headset, Nokia USB Type-C Charger, Charging / Data Cable, Quick Guide, SIM Door Key"
Model Number,TA-1083 DS
Model Name,6.1 Plus
Color,Blue
Browse Type,Smartphones
SIM Type,Dual Sim
Hybrid Sim Slot,Yes
Touchscreen,Yes
OTG Compatible,Yes
Quick Charging,Yes
Sound Enhancements,2 Microphones
Display Size,14.73 cm (5.8 inch)
Resolution,2280 x 1080 pixels
Resolution Type,FHD+
Other Display Features,"19:9 w/ Notch, Corner R, Gorilla Glass 3 CG"
Operating System,Android Oreo 8.1.0
Processor Type,Qualcomm Snapdragon 636 Octacore
Processor Core,Octa Core
Primary Clock Speed,1.8 GHz
Operating Frequency,"2G: GSM Band - 850/900/1800, 3G: WCDMA Band - 1/5/8, 4G: FDD LTE Band - 1/3/5/8, TDD LTE - Band 40/41"
Internal Storage,64 GB
RAM,4 GB
Expandable Storage,400 GB
Supported Memory Card Type,microSD
Memory Card Slot Type,Hybrid Slot
Primary Camera Available,Yes
Primary Camera,16MP + 5MP
Primary Camera Features,"1.0um + 1.12um, f2.0, AF, HDR (High Dynamic Range) Photography and AI Assistance Beauty Shot, Selfie Bokeh, Live Bokeh, Panorama, HDR, Hybrid Zoom (Digital), Spot Color, Color and Mono, Slow-motion Video"
Secondary Camera Available,Yes
Secondary Camera,16MP
Secondary Camera Features,"1.0um, f/2.0"
Flash,Rear Dual Tone Flash and Front Display Flash
HD Recording,Yes
Full HD Recording,Yes
Video Recording,Yes
Video Recording Resolution,"2160p, 1080p, 720p"
Dual Camera Lens,Primary Camera
Network Type,"4G, 3G, 2G"
Supported Networks,"GSM, UMTS, WCDMA, 4G LTE"
Internet Connectivity,"4G, 3G, Wi-Fi, EDGE"
3G,Yes
3G Speed,HSPA+
Bluetooth Support,Yes
Bluetooth Version,5
Wi-Fi,Yes
Wi-Fi Version,802.11a/b/g/n/ac (2.4 GHz + 5 GHz)
Wi-Fi Hotspot,Yes
USB Connectivity,Yes
EDGE,Yes
Audio Jack,3.5mm Stereo Headset Connector
Map Support,Google Maps
GPS Support,Yes
Smartphone,Yes
SIM Size,Dual Nano SIM
Removable Battery,No
Sensors,"Fingerprint Reader (On the Back), Ambient Light Sensor, Proximity Sensor, Accelerometer, E-compass, Gyroscope"
Other Features,"4G LTE (Cat 4), Video Playback, USB Type-C"
FM Radio,Yes
Battery Capacity,3060 mAh
Width,70.98 mm
Height,147.2 mm
Depth,7.99 mm
Weight,151 g
Warranty Summary,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
